Time(min),Coverage(%),MSD(um2)
92.7992,0.236511,1
92.8992,0.236893,1
92.9992,0.237179,1
93.0992,0.237513,1
93.1992,0.237751,1
93.2991,0.238037,1
93.3991,0.238323,1
93.4991,0.238609,1
93.5991,0.238848,2017
93.6991,0.239038,2017
93.7991,0.239229,2017
93.8991,0.239515,1
93.9991,0.239754,1
94.0991,0.239944,2017
94.1991,0.240088,2017
94.2991,0.240326,1
94.3991,0.240612,1
94.4991,0.240898,2017
94.5991,0.241137,2017
94.6991,0.241327,2017
94.7991,0.241613,1
94.8991,0.241852,1
94.9991,0.241995,2017
95.0991,0.242138,1
95.1991,0.242376,2017
95.2991,0.242567,1
95.3991,0.242805,1
95.4991,0.243044,1
95.5991,0.24333,1
95.6991,0.243664,1
95.7991,0.24395,1
95.8991,0.244188,1
95.9991,0.24457,1
96.0991,0.244856,1
96.1991,0.245142,1
96.2991,0.245476,1
96.3991,0.24581,1
96.4991,0.246143,1
96.5991,0.246382,1
96.6991,0.246668,1
96.7991,0.246954,1
96.8991,0.247192,1
96.9991,0.247431,1
97.0991,0.247765,1
97.1991,0.248098,1
97.2991,0.24848,1
97.3991,0.248814,1
97.4991,0.2491,1
97.5991,0.249434,1
97.6991,0.249767,1
97.7991,0.250053,1
97.8991,0.250292,2017
97.9991,0.25053,1
98.0991,0.250769,2017
98.1991,0.251007,1
98.2991,0.251293,1
98.3991,0.251436,1
98.4991,0.251532,1
98.5991,0.251818,1
98.6991,0.252008,1
98.7991,0.252199,1
98.8991,0.252485,1
98.9991,0.252676,1
99.0991,0.252819,2017
99.1991,0.252962,1
99.2991,0.253105,1
99.3991,0.253296,1
99.4991,0.253534,1
99.5991,0.253725,2017
99.6991,0.253868,1
99.799,0.254107,1
99.899,0.254345,1
99.999,0.254536,1
Simulation completed in 34.1041 seconds
